# X    Twist    Chord
0.216000 -6.412459 2.001224
0.248000 -4.932640 1.825776
0.280000 -3.676578 1.656203
0.312000 -2.608802 1.511245
0.344000 -1.696032 1.387501
0.376000 -0.910205 1.281216
0.408000 -0.228572 1.189238
0.440000 0.367063 1.109037
0.472000 0.891217 1.038594
0.504000 1.355506 0.976298
0.536000 1.769278 0.920860
0.568000 2.140106 0.871238
0.600000 2.474171 0.826583
0.632000 2.776556 0.786201
0.664000 3.051470 0.749518
0.696000 3.302426 0.716056
0.728000 3.532372 0.685415
0.760000 3.743801 0.657257
0.792000 3.938832 0.631296
0.824000 4.119277 0.607287
0.856000 4.286694 0.585020
0.888000 4.442430 0.564314
0.920000 4.587655 0.545010
0.952000 4.723387 0.526957
0.984000 4.850519 0.509771
